metrics_path,experiment_name,seed,target_env,batch_size,sampler_mode,lambda_supcon,lambda_supcon_warmup_epochs,lambda_supcon_target,lambda_supcon_effective,temperature,include_same_domain_same_class,supcon_positive_mode,best_val_score,best_val_accuracy,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,loss_supcon_weighted,loss_supcon_to_ce,supcon_mean_positives_per_anchor,supcon_frac_anchors_with_positive
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_warm000_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_warm000_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.05,0,0.05,0.05,0.2,True,global_class_instance_views,0.9991666666666666,0.9991666666666666,0.8773333333333333,0.8539290426360759,0.8733506131975036,0.8493055555555555,0.20516167168921615,0.20393283072995513,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_warm010_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_warm010_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.05,10,0.05,0.05,0.2,True,global_class_instance_views,0.9975,0.9975,0.865,0.8261601696140525,0.8305531614545782,0.8333333333333334,0.20811007809131704,0.22551225600676258,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_warm020_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_warm020_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.05,20,0.05,0.05,0.2,True,global_class_instance_views,0.9975,0.9975,0.8556666666666667,0.8405076707462028,0.8572369902723497,0.8358333333333333,0.21004128519524923,0.22409987866667316,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0050_warm040_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0050_warm040_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.05,40,0.05,0.05,0.2,True,global_class_instance_views,0.9991666666666666,0.9991666666666666,0.8613333333333333,0.8389516886942219,0.8661869790098239,0.8355555555555556,0.20968747062886017,0.2116843137078586,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0100_warm000_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0100_warm000_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.1,0,0.1,0.1,0.2,True,global_class_instance_views,0.9983333333333333,0.9983333333333333,0.8866666666666667,0.867721457244242,0.8796042718477359,0.8648611111111112,0.4017636268696887,0.46944053159388666,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0100_warm010_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0100_warm010_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.1,10,0.1,0.1,0.2,True,global_class_instance_views,0.9975,0.9975,0.882,0.8578908441021117,0.8675035098039268,0.8562500000000001,0.41688276224947995,0.44023333476152227,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0100_warm020_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0100_warm020_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.1,20,0.1,0.1,0.2,True,global_class_instance_views,0.9983333333333333,0.9983333333333333,0.8526666666666667,0.810906626078138,0.8202594606819166,0.8170833333333333,0.4075870275497437,0.3326454977914996,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0100_warm040_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0100_warm040_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.1,40,0.1,0.1,0.2,True,global_class_instance_views,1.0,1.0,0.849,0.8129955681935086,0.8198110932666928,0.8147222222222222,0.4190038642984756,0.35735879707167195,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_warm000_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_warm000_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.2,0,0.2,0.2,0.2,True,global_class_instance_views,1.0,1.0,0.8726666666666667,0.8532332763144174,0.859138605592995,0.8519444444444444,0.7869579421712998,0.8357784610244825,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_warm010_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_warm010_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.2,10,0.2,0.2,0.2,True,global_class_instance_views,1.0,1.0,0.886,0.8656807467370182,0.881832699910496,0.8624999999999999,0.7987336336298192,0.9899376037914891,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_warm020_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_warm020_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.2,20,0.2,0.2,0.2,True,global_class_instance_views,0.9991666666666666,0.9991666666666666,0.877,0.8534635925568689,0.8659185810358947,0.8472222222222222,0.8075946107823798,0.7002374354278442,7.803333333333334,1.0
outputs_supcon_warmup_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_warm040_tau020_bs32_domain_class_balanced\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_warm040_tau020_bs32_domain_class_balanced,42,E2,32,domain_class_balanced,0.2,40,0.2,0.2,0.2,True,global_class_instance_views,0.9983333333333333,0.9983333333333333,0.8673333333333333,0.8426977305645561,0.8584220682560068,0.8393055555555556,0.8077833764096524,0.7382096542817429,7.803333333333334,1.0
